ID_verbatim_long	ID_verbatim_short	ID_Respondent	Question	Verbatim	CODE-h1	#Words
R_2EcnjTknpq9iRW9Q14	V32	R_2EcnjTknpq9iRW9	Q14	This issue is very complex.   Sometimes, we do not have enough time to properly read our article's proof (less than 24 hours). Also, some colleagues are better to re-read the article in detail, and some not...When the error comes from a "bad" copy/paste from the data, it could help to have longer time. This proofreading can depend on the personality of the researcher, some of them have still enough energy and time to read very carefully the accepted paper.   In some cases, an error could come from using wrong values from references...The authors did not do something in purpose, and the retraction can be a harsh decision. One can always say that it is the responsibility of the PI...the error could be mentioned in a correctum, but if the errors did not lead to change the conclusions of the article I do not think it should be retracted.	Minor error, conclusions unchanged	152
R_PBXFIdN0YcqgdrzQ3_notAuth_10_TEXT	V99	R_PBXFIdN0Ycqgdrz	Q3_notAuth_10_TEXT	There are several papers that have errors . we ignore them and not citing them. or we discuss in our communications/reviews our disagreement with the data or methodology. Fake or erroneous science should not be reproduced	Errors are part of the scientific process	36
R_3imy8i8vRV2hyuiQ14	V357	R_3imy8i8vRV2hyui	Q14	Goodness - that's a big question for a small box!  Most "errors" I've encountered are errors of interpretation / argumentation, most typically at the review stage. I've usually been able to either correct or improve discussion through the peer review process, but not always.  Typographical issues, especially in equations, can be quite a problem! These are rarely formally corrected, but I do highlight where I have had to make corrections when citing sources.  I have had unfortunate experiences of co-authors ignoring challenges to pet hypotheses, and, as result, publishing interpretations I'm pretty sure are incorrect. In that case, I've simply avoided working with them again!	Interpretation	108
R_1isU7CiN6L8fTUUQ9_Auth_14_TEXT	V358	R_1isU7CiN6L8fTUU	Q9_Auth_14_TEXT	I don't know if "error" is the right word, but, as I said earlier, I consider the more subtle issues of interpretation of data and finding better ways to analyze data in the context of new discoveries to be more important than pointing out the few "cheaters" or stupid mistakes that appear on twitter occasionally for folks to laugh at and feel good about themselves. The instance I am thinking of is data I collected and interpreted in graduate school that I now suspect has a different meaning than I assigned it then. I, and the field, know much more and looking back it is likely a different case than was assigned in the paper. I am open about this and not trying to hide something (not that many people would care, I think - it isn't a huge field with dramatic consequences), but the current system makes errors like this very hard to address. I don't consider this "my" work since I was a PhD student, so it seems like an imposition to "refute" my former advisors work. Also, all new data would need to be collected and the synthesis is not something my lab does, and it would not be an "interesting" publication, so, if the conclusions to be drawn were, as I suspect, different than previously published, it would be an expensive, time-consuming, low-impact way to create some ill-will while ultimately changing very little.   The way to actually change this is in the way we are credited for data. If I had an annotated dataset in a searchable database that was separate from my analysis, then I could now reanalyze that data as part of a larger study that involved refining the model I had used (and also modifying the (currently non-existent) raw data check to test for the measurement errors that caused the analysis error in the first place). In this scenario, everyone wins because everyone with data that had the errors gets cited and they get their data reanalyzed in a new paper.	Interpretation	340
R_1Gy6YVbWbLjzRdkQ14	V359	R_1Gy6YVbWbLjzRdk	Q14	Instead of errors, it is more frequent to find imprecised data, vagueness, that can induce errors (experimental errors, or errors of interpretation, that further lead to decrease of the performance, or bad reproducibility of the results). That was the case from some papers, including some of mines! And this is not easy to detect when you are referee (because it is pratically not possible to re-do all the experiments proposed in a paper).	Interpretation	73
R_3qwXhWSdjjiYoT2Q9_Auth_14_TEXT	V195	R_3qwXhWSdjjiYoT2	Q9_Auth_14_TEXT	It was not really an error but an interpretation that was too simple and data were in fact lacking to be sure of it. I then performed additionnal experiments that confirmed the first interpretation was correct. We published another paper with the new technique that reinforced the previous interpretation.	Interpretation	49
R_DjH83cwqOllzjgZQ2_notAuth_15_TEXT	V129	R_DjH83cwqOllzjgZ	Q2_notAuth_15_TEXT	I left it to the co-advisor of the co-advised student who discovered the error with my guidance. My preference was for her to reach out to the authors, but I don't think anything happened.	Contact authors	34
R_2dg7BYEzVII7KAsQ14	V150	R_2dg7BYEzVII7KAs	Q14	I found a case of plagiarism in a review article, contacted the editor who replied that they take the issue seriously. But a while after the reply, the review article was still available.	Contact editor	33
R_2xPJJMiiqm0NsxKQ10_Auth_4_TEXT	V406	R_2xPJJMiiqm0NsxK	Q10_Auth_4_TEXT	There was no real action because the errors (small error in an equation or some misinterpretation) were small and insignificant when considering the overall outcome of the paper or the generalo conclusions. If every single little error is reported or revised (in a corrigendum), there would probably be a corrigendum for 50% of all papers. Corrections should be reserved for serious errors and in that case, a corrigendum or retraction of the paper would be appropriate.	Minor error, conclusions unchanged	76
R_1LBCO0Dbl7p8kTQQ14	V283	R_1LBCO0Dbl7p8kTQ	Q14	Some questions are not precisely formulated. One example:  will SUBMITTION of comment correct the science?   No, it is only publication of comment which might correct the error. Unfortunately 99% of submitted comments are not published. Also when you write "error", it is assumed by the meaning as unintentional.   In recent  years I faced hundreds of papers with outrageously fabricated data. These are not errors but intentional fraud. In some cases I managed to force retractions, but in most cases journals and editors refuse to do anything, do not reply at all in many cases, issue corrections replacing several fake figures. I am also aware of cases when fake figure was silently replaced in the published paper without citing the problem or issuing correction, simply one file replaced by another.  If editors help to authors to hide their fakes, the whole system is doomed.    I am right emotional now as one of my best papers was not send for review citing lack of novelty. As an evidence, the journal  cited  a paper which   has several comments on pubpeer exposing several fake figures, also exposed several years ago.  Not even statement of concern was issues by IF =10 journal. I contacted Editor in Chief to ask why they took no actions and got no reply at all.  Do you name it "error"? I name it catastrophe for the whole publishing system. For one occasion when editors took my report seriously and retracted paper with fabricated data I have tens examples of complete ignorance.  Consider interviewing Elisabeth Bik for statistics, only about 10% of reports finish with some action. I confirm it.	Pointless to act	286
R_2saIIyCmeYeskJqQ9_Auth_14_TEXT	V379	R_2saIIyCmeYeskJq	Q9_Auth_14_TEXT	I did nothing as the error was a minor error introduced by the structure drawing program (Chemdraw) and the main text was correct so it would be obvious that it was just an error in the figure.	Minor error, conclusions unchanged	37
R_1pnUM87I9D9fmlMQ9_Auth_14_TEXT	V385	R_1pnUM87I9D9fmlM	Q9_Auth_14_TEXT	It was a minor misprint in an equation and it was obvious what the correct equation should look like based on equations further down in the paper.	Minor error, conclusions unchanged	27
R_20MMP3ksR5WParEQ3_notAuth_10_TEXT	V386	R_20MMP3ksR5WParE	Q3_notAuth_10_TEXT	It was a simple error and easy for others to check	Minor error, conclusions unchanged	11
R_1nZ0ZieA1Mn9wQqQ9_Auth_14_TEXT	V387	R_1nZ0ZieA1Mn9wQq	Q9_Auth_14_TEXT	It was an error in using the wrong abbreviation for an amino acid. So we let it at that because we believed that everyone would know which was the correct amino acid.	Minor error, conclusions unchanged	32
R_z25i6rQ674WjyE1Q10_Auth_4_TEXT	V388	R_z25i6rQ674WjyE1	Q10_Auth_4_TEXT	It was an obvious mistake, that all expects in the field identify (wrong number of molecules in a standard equation)	Minor error, conclusions unchanged	20
R_3scDy9CughdfP6yQ11_Auth_6_TEXT	V392	R_3scDy9CughdfP6y	Q11_Auth_6_TEXT	It was wrong name of protein in the figure, but it was still understandable what was meant.	Minor error, conclusions unchanged	17
R_0kf0QHwttxhB6g1Q14	V397	R_0kf0QHwttxhB6g1	Q14	Scientific errors that I spotted in articles were really minor issues, usually slightly incorrect structures or a missing NMR signal assignment in experimental. Such errors are  almost inevitable and do not affect  conclusions.  Every specialist in the field can make "a mental correction" without the need to contact the authors.  I did not quite understand the question whether I informed the authors about errors in their article found during peer review. Informing authors about errors is a standard part of the peer review process.	Minor error, conclusions unchanged	88
R_1pRs5xL3OOrLLDGQ9_Auth_14_TEXT	V400	R_1pRs5xL3OOrLLDG	Q9_Auth_14_TEXT	The error was a minor nomenclature mistake that any reader would understand as a mistake.	Minor error, conclusions unchanged	15
R_1dlVYYiIszlGFcfQ14	V161	R_1dlVYYiIszlGFcf	Q14	Just a comment, I think in the future we need a dramatic reshaping of our current platforms for sharing research. The research community has dramatically expanded in recent years, which is great, but it has also led to much larger amounts of low quality / inaccurate research being published, which greatly dilutes the scientific literature – which is already impossible to keep up with. Future AI models which will likely be used to summarise the literature for human researchers to digest will inevitably be susceptible to such low-quality published results (though I guess they might end up with a 'trustworthy' metric built-in to ignore results from journals/authors that have been identified as poor quality).  I think the current 'static' approach of publishing a fixed, unchanging journal article will likely need to change in the future, possibly adopting something more similar to the git version control for software packages. This would allow the easy rectification of scientific errors in-place (rather than corrigenda which are a pain for authors to do, and also come with no benefit), and facilitate greater community discussion to identify errors and contribute to solving them.   In summary, I think ERC money would be well-spent on trying to develop a new open-source platform for sharing science, which can resolve these issues but also allow appropriate recognition of researchers' work (for obtaining academic positions).  I'm a final year PhD student who has published 25 scientific articles, in journals including Nature Photonics, Nature Communications and Physical Review Letters.	Open Science, transparency, sharing data	252
R_cMFpR615QwE7BShQ4_notAuth_8_TEXT	V329	R_cMFpR615QwE7BSh	Q4_notAuth_8_TEXT	Some minor errors (if they are not made on purpose) are part of the scientific process and literature can still build on that.	Errors will be corrected in future works	23
R_2uwSRC7X8lFLbXEQ14	V51	R_2uwSRC7X8lFLbXE	Q14	'- I found many errors published in MDPI articles. Many Reviewers are not qualified. Of course, many articles published at MDPI are also very good.  - Pubpeer allows free comments on articles. However, many private reasons behind a specific relationship. Thus, their comments harm other coauthors in that article.	Relationships	50
R_1kZBXkfzpiRjt0oQ14	V340	R_1kZBXkfzpiRjt0o	Q14	  Good Experience: - by sharing concerns with the community you realise that you are not the only one who thinks the same way, people/journals are supportive of such "correct science" mentality and approach BUT unfortunately only few scientists are ready to undertake studies to debunk ambiguous data/papers/conclusions. People prefer to focus on "new stuff" rather than debunking "old stuff"...  Bad experience:  - passive aggressive, non-requested emails from authors of past papers/data "debunked", despite wording the new research paper very carefully to sound supportive/constructive and not dismissive of past work. - some funders keep supporting individuals consistently (not necessarily intentionally) reporting questionable data in well regarded journals, despite the concerns being raised in other peer-reviewed articles. There are still "hotspots" where status/knowledge of an individual or institution still prevails on rigor. Having studied/worked in some fortunate and less fortunate institutions, I can see this still happens regularly.	Relationships	150
R_296tSKCCr3URYQZQ14	V269	R_296tSKCCr3URYQZ	Q14	I know few authors publish papers with partial results, just to boost their claims. For example, if a reaction shows maximum results with 1 mg of catalyst, but very poor results with say 10 or 25 mg of catalyst, the latter is suppressed. When we try to replicate results of that authors, it wont fit their claims of normalized results per gram of catalyst. As it has become a bit widespread problem, I indicated this in my review published 2 years back and made the readers aware of this issue.   Further, when you submit a comment manuscript, usually the reply from the defending authors comes in a real bad language. Instead of understanding the real issue, defending authors get actually feel offended. Once, I was persuaded through my senior colleague to withdraw my comment manuscript, but I did not budge.   Sometime I also feel that, who am I, to correct these deliberate defaulters ?   Sometime back I got a manuscript from very high impact (~40) journal. Even while going through the manuscript, I realized that it was such a poor manuscript, but still sent out for review by Editor. I promptly made all scientific comments and recommend to reject the manuscript. This high impact journal is happy to claim that they reject more than 90 % of submitted manuscripts. I also wrote in the confidential column that this manuscript should have been rejected even without review. Within 2-3 weeks, the same rejected manuscript came to me for review from a sister journal of the same publishing group; this also happens to be the next high impact journal. Even a cursory look indicated that the authors never answered any of my questions/comments/suggestions. I indeed informed the Editor that it was already rejected from your sister journal and none of my comments were answered. My point is, even Editors decision is increasingly becomeing subjective. Some Editors are also biased towards certain countries, either blindly promote or blindly reject the articles.	Relationships	334
R_1LqFYLMpsBOG5TGQ14	V177	R_1LqFYLMpsBOG5TG	Q14	Dear all,  we actually tried 2 times to correct a basic (!) error in papers of other authors. One time, it went rather smoothly, but still took a very long time. The other time, it was really strange, even receiving a phone call from one of the authors of the criticized paper to drop our correction! It was also obvious that the publisher didn't like our criticism.  Being a professor and group leader, I think it is rather discouraging that pointing out errors in published papers is such a pain in the back! This is not good for the motivation of my young people.   Consequently, I surely hope that your research project will finally contribute to change things to the better. Keep up your good work!  Best regards  [ANONYMISED]	Relationships	135
R_2Yx4gwQtOedv1lTQ14	V407	R_2Yx4gwQtOedv1lT	Q14	At several occasions, after reviewing a manuscript and pointing out inconsistencies or errors, the authors corrected their manuscript according to the remarks made.  For several manuscripts I submitted, reviewers pointed at unclarities, inconsistencies or errors, that I remedied largely according the remarks made.  At one occasion I encountered a published paper where the authors quoted one of my papers stating exactly the opposite of what was the conclusion of that paper.  At another occasion I encountered a published paper, with authors from elsewhere, which almost verbatim copied the text from one of my papers.   At one or two occasions I received mail from somebody who pointed out some misprint in one of my papers, which I subsequently corrected in an erratum or in a follow-up paper.	Misconduct	131
R_31vzhSh4HAY334OQ14	V410	R_31vzhSh4HAY334O	Q14	During my review process, I found that the authors used almost the same sentences as those in my papers.	Misconduct	19
R_2dg7BYEzVII7KAsQ14	V150	R_2dg7BYEzVII7KAs	Q14	I found a case of plagiarism in a review article, contacted the editor who replied that they take the issue seriously. But a while after the reply, the review article was still available.	Misconduct	33
R_33apbfOdpHyw37iQ14	V152	R_33apbfOdpHyw37i	Q14	In one instance, I read a paper in which a majority of the introduction was plagiarized from work I had previously published (I would otherwise have been unlikely to realize the plagiarism). I emailed the editor in chief of they journal, but they never responded or corrected the offending article. It was disappointing; while it has no impact on science, I strive to achieve a high degree of ethics in the work that I do, and I demand the same from others because without ethics, science simply cannot function.   I will say, though, that I do have some sympathy for the authors of the offending work, as they were clearly not native English speakers, and I do suspect some differences in cultural norms led to the authors not fully appreciating the ethical norms they were crossing. In this instance, I would certainly support informing the authors in a quiet manner and allowing them to revise the paper without fanfare. My interest is more in correcting the record, rather than punishing authors for transgressions (noting that fabrication of data is a whole different ballgame).	Misconduct	185
R_2OZK1LLV5vyh41LQ14	V290	R_2OZK1LLV5vyh41L	Q14	In my field - synthetic organic chemistry - obvious errors are fairly rare in well established high quality international journals because a strong evidence base is required in order to publish in these journals and compound characterisation techniques are well developed and usually lead to unambiguous structural assignments. When errors do arise, these are normally associated with mechanistic interpretation of the data, which is a much more contestable area than structural assignment. Papers are occasionally published in which the proposed mechanism to explain the outcome of a reaction is likely to be wrong. Usually, the problem is lack of supporting data for a reaction mechanism that is superficially plausible, but is probably incorrect. I have on occasion reviewed manuscripts in which the mechanistic interpretation of the data is clearly wrong and on those occasions I have rejected the manuscript or asked for major corrections to be made prior to publication. Editors are usually receptive to my comments.	editors must play referees	157
R_1kZBXkfzpiRjt0oQ14	V340	R_1kZBXkfzpiRjt0o	Q14	  Good Experience: - by sharing concerns with the community you realise that you are not the only one who thinks the same way, people/journals are supportive of such "correct science" mentality and approach BUT unfortunately only few scientists are ready to undertake studies to debunk ambiguous data/papers/conclusions. People prefer to focus on "new stuff" rather than debunking "old stuff"...  Bad experience:  - passive aggressive, non-requested emails from authors of past papers/data "debunked", despite wording the new research paper very carefully to sound supportive/constructive and not dismissive of past work. - some funders keep supporting individuals consistently (not necessarily intentionally) reporting questionable data in well regarded journals, despite the concerns being raised in other peer-reviewed articles. There are still "hotspots" where status/knowledge of an individual or institution still prevails on rigor. Having studied/worked in some fortunate and less fortunate institutions, I can see this still happens regularly.	Support, reward, incentive	150
R_2ctL3anjutuhpxdQ14	V139	R_2ctL3anjutuhpxd	Q14	In those instances when I have found errors in published literature, I have always contacted the authors to figure out the issue and find a way to correct the record. My experience has been positive so far.	Contact authors	37
R_3I4wSyoNYGwl1cmQ14	V362	R_3I4wSyoNYGwl1cm	Q14	Bad experience: Retracting a paper is not easy (even if it contains an obvious and important error) if the publisher fears to loose reputation.	Journals are reluctant to correct	24
R_1KfM1YzqKVlZPsKQ14	V364	R_1KfM1YzqKVlZPsK	Q14	I am presently invovled in attempts to comment on papers promoting cold fusion nonsense. Most journals appear very reluctant to admit even a comment on those papers, much less retract them. Science is in hock to the publication industry and those people care nothing about science. The malaise has spread to learned society journals.	Journals are reluctant to correct	54
R_1Id5XRRuliPXW00Q14	V163	R_1Id5XRRuliPXW00	Q14	the "higher ranked " the journal the harder it is to get the editor to act on a comment that corrects a paper that journal published. The time lag involved makes the whole process nowdays somewhat useless and Peerpub maybe a better way	Correction by a comment on forum/Pubpeer	43
R_2duwZWuaEBnG73rQ14	V53	R_2duwZWuaEBnG73r	Q14	I think I disagree with the thesis that science fails to correct itself. Possibly not on the timescale that we would like, but important faulty papers will fall through as people will try to use the science. Those not discovered, maybe it does not matter, because the paper is not important enough. In any case, any natural system will contain errors, only in theory errors may not exist.  Could we distinguish three types of errors, as a suggestion? 1) Honest interpretation errors, 2) political errors, and 3) commercial errors, although a single error may simultaneously fall within multiple categories.  1) We're all fallible and it happens that we overlook things, unfortunate but it is part of the deal  2) For example careerists that need to publish high impact and make up stories, so here there is a clear intent to produce faulty science (or to be negligent at the least) for their own gain (these are the ones we tend to see, because they fall hard if discovered and they cause the largest damage to the respect for science of the general public)  3) It bothers me that many new journals (open access...???) demand very short review times and basically depend on high article throughput. They publish whatever, even if the review is negative (from my own experience). The open access model is more prone to this type of commercial push it through without proper review error than the older journals, because more papers = more profit. This fashion of quick review should be really ditched! Science should stay away from HOT, FAST and fashionable; that's a breeding ground of errors (categories 1, 2, and 3!!). Papers can be published right away on a preprint server, which should SUPPORT solid and proper review for the final official paper as a serious added value for a journal.	Time consuming to correct, lack of time	310
R_3Gs2QfkDam8Pge4Q14	V58	R_3Gs2QfkDam8Pge4	Q14	To me the major problem we are facing now is the exploding number of so called "predatory journals" aking to be paid to provide open access, and claim to be peer-reviewed. These journals "buy" their reviewers by offering them free publication in their next paper. They receive manuscripts, send the manuscript to their reviewers, ask a report in one week and, whatever the reports say, the manuscript will be published... This systems attracts potential reviewers because they will be waived of publication fee and potential authors because of an ultra fast publication scheme and open access option. I have several colleagues who reviewed for such journals. They all told me the same things. 1) yhe manuscript(s) they reviewed was (were) of poor quality; 2) they had pressure from the editors to review in an utra-short time (typically one week); 3) whatever my colleagues wrote in their reports (constructive criticisms, request for additional experiment, etc.), the manuscript was very quickly accepted, without going back to the reviewers and many time with no modification. This system is a vicious circle that propagates scientific errors in the published works in dramatic and exponential manner. Nowadays, I find that most manuscripts in preprint servers (chemRxiv, bioRxiv) are of much better scientific quality (no or few errors) than all these predatory journals pretending to be peer-reviewed. Many of these journals are proudly advertising on their average time beteen submission and acceptance/publication that can be as short as 7 days, with impact factors as high as 5, 7 or even more! It is just impossible to have a fair and useful peer-review process (reading, checking, reporting on error by the reviewers, then obtaining additional data, correction and improving the revised manuscript by the authors) in such a short time.	Time consuming to correct, lack of time	293
R_3Gs2QfkDam8Pge4Q14	V58	R_3Gs2QfkDam8Pge4	Q14	To me the major problem we are facing now is the exploding number of so called "predatory journals" aking to be paid to provide open access, and claim to be peer-reviewed. These journals "buy" their reviewers by offering them free publication in their next paper. They receive manuscripts, send the manuscript to their reviewers, ask a report in one week and, whatever the reports say, the manuscript will be published... This systems attracts potential reviewers because they will be waived of publication fee and potential authors because of an ultra fast publication scheme and open access option. I have several colleagues who reviewed for such journals. They all told me the same things. 1) yhe manuscript(s) they reviewed was (were) of poor quality; 2) they had pressure from the editors to review in an utra-short time (typically one week); 3) whatever my colleagues wrote in their reports (constructive criticisms, request for additional experiment, etc.), the manuscript was very quickly accepted, without going back to the reviewers and many time with no modification. This system is a vicious circle that propagates scientific errors in the published works in dramatic and exponential manner. Nowadays, I find that most manuscripts in preprint servers (chemRxiv, bioRxiv) are of much better scientific quality (no or few errors) than all these predatory journals pretending to be peer-reviewed. Many of these journals are proudly advertising on their average time beteen submission and acceptance/publication that can be as short as 7 days, with impact factors as high as 5, 7 or even more! It is just impossible to have a fair and useful peer-review process (reading, checking, reporting on error by the reviewers, then obtaining additional data, correction and improving the revised manuscript by the authors) in such a short time.	Time consuming to correct, lack of time	293
R_24INDFZnbwz1NgLQ14	V355	R_24INDFZnbwz1NgL	Q14	We've had cases where errors in papers were discovered and the authors tried to retract or correct the manuscript themselves. The school's legal counselor woukd interfere and contact the journal or discourage the authors from addressing the issue, out of fear that it would hurt the school's reputation to acknowledge the error.	Institutions are reluctant to correct	52
R_1mkKez3A2mYvV1XQ14	V46	R_1mkKez3A2mYvV1X	Q14	Thank you for your important work! Scientific errors in our field become in many different flavors. Some are small mistakes in e.g. calibration values which keep repeating and rarely affect the conclusions of the individual papers, but when different studies are compared, they can lead to confusion. Then there are "public secrets" that some of the studies were maybe not so well performed and the results are overinterpreted, but no one does anything for the matter. I have found it useful to share my mistakes with students, since everyone does mistakes. I explain that are formal procedures to follow to make an erratum. What might be discouraging for people to submit the erratum or retract the paper is that it might be connected in people's mind to intentional manipulation of data or other fraud. No one wants to have that kind of reputation. However, I know a group which withdraw a paper from a prestigious journal since they find out in a later study that the calibration of their instrument was not correctly performed. In my opinion this just increased the respect to the group.	Correction by retraction	185
R_3lGhuidYsWpn17rQ14	V423	R_3lGhuidYsWpn17r	Q14	As a general comment, an accelerated rate of publishing imposed by the community and funding entities leads to increased errors in scientific papers. Today scientists have no time to re-think the data and results published by other groups. The pressure on publishing limits the time for reading and thus correcting errors.  In my research field, I see that publications containing questionable or unreproducible results will shortly vanish, and no one will cite or use these works for any good in the next 10 or 20 years. I do hope that science will self-correct in long term.  Thanks for rising this aspect.	Replication failed	103
R_1KUgwM2LGvX49MdQ14	V5	R_1KUgwM2LGvX49Md	Q14	Hello I use Pubpeer a lot to highlight problems in publications and I also retracted a paper of mine after discovering the data were corrupted by a contaminant, see: [ANONYMISED]  I also do a lot of Letters to the Editors to stress problems, but some journals (JACS, J Mol Catal) do not even considers this type of actions.  In most cases authors gladly acknowledges the corrections, but once we were threatened.  I would be happy to discuss more if this is of interest.  best regards  [ANONYMISED]	Relationships	91
R_1LqFYLMpsBOG5TGQ14	V177	R_1LqFYLMpsBOG5TG	Q14	Dear all,  we actually tried 2 times to correct a basic (!) error in papers of other authors. One time, it went rather smoothly, but still took a very long time. The other time, it was really strange, even receiving a phone call from one of the authors of the criticized paper to drop our correction! It was also obvious that the publisher didn't like our criticism.  Being a professor and group leader, I think it is rather discouraging that pointing out errors in published papers is such a pain in the back! This is not good for the motivation of my young people.   Consequently, I surely hope that your research project will finally contribute to change things to the better. Keep up your good work!  Best regards  [ANONYMISED]	Relationships	135
R_1LqFYLMpsBOG5TGQ14	V177	R_1LqFYLMpsBOG5TG	Q14	Dear all,  we actually tried 2 times to correct a basic (!) error in papers of other authors. One time, it went rather smoothly, but still took a very long time. The other time, it was really strange, even receiving a phone call from one of the authors of the criticized paper to drop our correction! It was also obvious that the publisher didn't like our criticism.  Being a professor and group leader, I think it is rather discouraging that pointing out errors in published papers is such a pain in the back! This is not good for the motivation of my young people.   Consequently, I surely hope that your research project will finally contribute to change things to the better. Keep up your good work!  Best regards  [ANONYMISED]	Relationships	135
R_1NEtv4lSpFrrZNYQ14	V123	R_1NEtv4lSpFrrZNY	Q14	1) When I was a referee, I detected an scientific error in a manuscript of a colleague. I wrote this error in my referee report. In the revised version, the error was still in the paper. I again wrote it in my referee report, but the author did not correct ot. Nevertheless the paper was published with the error.  Another collgeaue made a similar experience. Apparently some journals are not interested in correcting errors.  2) We observed an error in a publication, and wrote to the author (name-by name). In his further work, he corrected the error, but did not acknowledge us at all.  3) A colleague observed an strong error in a publication of another colleague. The publication was in a high-ranking journal (Nature).Some time later, it became obvious that the other colleague had done multiple scientific frauds, e.g. he wrote papers on experimental results, but he had never carried out any experiments. My colleague submitted a manuscript to Nature stating that the "experimental results" had to be corrected, but the editor of Nature replied that the journal is interested in correcting errors.  4) I acted as a witness for a scientific fraud: I was contacted by a Czech University. One scientist had published a paper, in which one of the graphics was obviously faked: The "Experimental Curve" was composed of identical 4 repeating pieces of another curve. I confirmed the fraud.   For any discussion, please feel free to contact me: [ANONYMISED]	Reviewers point out error, reviewers' comment ignored	249
R_2v7Bu3YelfW320TQ14	V481	R_2v7Bu3YelfW320T	Q14	A couple of time, during the review process, despite my pointing out some serious errors, the paper got published since the other reviewers did not bother and the authors were prestigious.  The associate editor(s) themselves feel helpless against a stronger author, which is kinda funny.	Reviewers point out error, reviewers' comment ignored	46
R_Zr8UxW1zMh7jto5Q14	V270	R_Zr8UxW1zMh7jto5	Q14	As I mentioned above, my worst experiences were as a referee whose knowledge is not taken into account by the editor. In a case particularly worth mentionning, a crystallographic work had been submitted to "[ANONYMISED]", a journal were there is no crystallographer in the editorial board. The authors had mistaken substrate X-ray reflections for those of their objects, and wrongly interpreted them in terms of a metastable phase of silicon that would have wonderful electronic properties. For their defense, the substrate reflections are normally forbidden but do occur in certain conditions. The particular editor in charge of the paper was obviously seduced by the fact of publishing a new metastable phase of silicon. The two other referees had obviously no competence in crystallography. Here is the reference of the published paper, which I recommended not to publish at all: [ANONYMISED]	Reviewers point out error, reviewers' comment ignored	140
R_215SDxM6u0BsN4oQ14	V66	R_215SDxM6u0BsN4o	Q14	Editors are not always willing to correct errors in papers in their journals. It has happened regularly that I flagged issues with data processing or interpretation with editors during the peer-review process, which were then ignored and led to manuscripts being published of low scientific quality. I know second-hand of another case of authors publishing a long string of papers full of serious errors in data interpretation. My colleague, who was invited to review a new paper by these authors, made a well-argued case that new work by these authors should be more strongly scrutinized and past papers should really be retracted. His comments were ignored, and the new paper was published without many changes.  In general, the impression of peer-review in my specific field is not entirely positive. Frequently, fellow reviewers on manuscripts that I peer-review are not nearly critical enough and let a lot of errors pass. This makes me worry that many mistakes propagate on manuscripts that do not have a sufficiently critical reviewer.	Reviewers point out error, reviewers' comment ignored	168
R_296tSKCCr3URYQZQ14	V269	R_296tSKCCr3URYQZ	Q14	I know few authors publish papers with partial results, just to boost their claims. For example, if a reaction shows maximum results with 1 mg of catalyst, but very poor results with say 10 or 25 mg of catalyst, the latter is suppressed. When we try to replicate results of that authors, it wont fit their claims of normalized results per gram of catalyst. As it has become a bit widespread problem, I indicated this in my review published 2 years back and made the readers aware of this issue.   Further, when you submit a comment manuscript, usually the reply from the defending authors comes in a real bad language. Instead of understanding the real issue, defending authors get actually feel offended. Once, I was persuaded through my senior colleague to withdraw my comment manuscript, but I did not budge.   Sometime I also feel that, who am I, to correct these deliberate defaulters ?   Sometime back I got a manuscript from very high impact (~40) journal. Even while going through the manuscript, I realized that it was such a poor manuscript, but still sent out for review by Editor. I promptly made all scientific comments and recommend to reject the manuscript. This high impact journal is happy to claim that they reject more than 90 % of submitted manuscripts. I also wrote in the confidential column that this manuscript should have been rejected even without review. Within 2-3 weeks, the same rejected manuscript came to me for review from a sister journal of the same publishing group; this also happens to be the next high impact journal. Even a cursory look indicated that the authors never answered any of my questions/comments/suggestions. I indeed informed the Editor that it was already rejected from your sister journal and none of my comments were answered. My point is, even Editors decision is increasingly becomeing subjective. Some Editors are also biased towards certain countries, either blindly promote or blindly reject the articles.	Reviewers point out error, reviewers' comment ignored	334
R_2YXJ02Y4ZbVEk4yQ14	V151	R_2YXJ02Y4ZbVEk4y	Q14	I reviewed an article on computational chemistry. After a couple of rounds the authors got the correct numbers, but they failed to understand that with those numbers the conclusions were completely irrelevant. The paper was rejected. A couple of months after that I see the article with the same mistakes published in another journal. I wrote to the editor, who let us write a comment to the article indicating the error and how their conclusions were irrelevant. The original authors never answered to the comments, nor they retracted their work. I guess they only wanted to have another line in their CV, and this did the trick.	Reviewers point out error, reviewers' comment ignored	107
